type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2019-05-07 18:12:59,-23.21919007,-45.87112566,11,610.000,,0.000,,16,22,,
W,2019-05-07 18:16:31,-23.21983647,-45.87178064,10,614.000,,0.000,,18,22,,
W,2019-05-07 18:16:57,-23.21988081,-45.87177577,10,614.000,,0.000,,18,22,,Top decolagem
W,2019-05-07 18:18:46,-23.22720289,-45.86387288,6,626.000,,67.120,135,11,21,,
W,2019-05-07 18:24:32,-23.08464955,-45.73329059,11,1033.000,,88.690,31,17,24,,Subida
W,2019-05-07 18:32:51,-22.74394548,-45.42125857,4,4822.000,,112.660,101,16,23,,Fim subida
W,2019-05-07 18:37:38,-22.81125197,-45.45132675,11,3189.000,,97.440,345,16,22,,
W,2019-05-07 18:38:55,-22.75422505,-45.48136724,10,3186.000,,88.050,296,13,22,,
W,2019-05-07 18:48:29,-22.74559746,-45.43109809,9,3189.000,,91.140,177,18,22,,Fazendo com 30
W,2019-05-07 18:52:54,-22.75125200,-45.38781109,21,3192.000,,103.380,92,16,21,,Fim curva
W,2019-05-07 19:08:28,-22.77137216,-45.33673152,3,3269.000,,75.090,240,11,18,,270km
W,2019-05-07 19:11:29,-22.83503409,-45.44116055,14,3217.000,,90.340,157,13,22,,Começando 150knots
W,2019-05-07 19:28:04,-22.89269353,-45.50376327,14,3240.000,,132.360,75,8,21,,470km/h
W,2019-05-07 19:37:47,-22.84571217,-45.39044534,10,3304.000,,120.150,245,13,21,,Subindo p stall
W,2019-05-07 19:40:41,-22.88919361,-45.51909063,21,3301.000,,75.090,223,15,22,,
W,2019-05-07 19:43:38,-22.89488027,-45.44535682,9,3579.000,,75.790,60,12,21,,Início stall
W,2019-05-07 19:44:20,-22.88499635,-45.41779512,18,3336.000,,67.290,70,14,21,,Add
W,2019-05-07 19:58:39,-23.22391473,-45.86740442,3,624.000,,47.990,135,12,19,,
T,2019-05-07 18:09:04,-23.22312045,-45.86493662,3,628.000,,1.150,314,18,22,20190507-150904,GPS Logger: 20190507-150904
T,2019-05-07 18:09:05,-23.22310713,-45.86494502,3,625.000,,1.460,307,19,22,,
T,2019-05-07 18:09:06,-23.22309610,-45.86495466,4,626.000,,1.440,303,19,22,,
T,2019-05-07 18:09:07,-23.22308965,-45.86496552,4,627.000,,1.460,294,19,22,,
T,2019-05-07 18:09:08,-23.22308911,-45.86498049,4,626.000,,1.600,279,19,22,,
T,2019-05-07 18:09:09,-23.22309549,-45.86499732,4,625.000,,1.830,241,19,22,,
T,2019-05-07 18:09:10,-23.22310568,-45.86501280,4,624.000,,2.090,247,18,22,,
T,2019-05-07 18:09:11,-23.22311803,-45.86502697,4,626.000,,2.100,239,18,22,,
T,2019-05-07 18:09:12,-23.22313237,-45.86503919,4,625.000,,1.750,235,18,22,,
T,2019-05-07 18:09:13,-23.22314435,-45.86505156,4,625.000,,1.810,233,18,22,,
T,2019-05-07 18:09:14,-23.22315681,-45.86506458,4,625.000,,1.870,231,18,22,,
T,2019-05-07 18:09:15,-23.22316713,-45.86507553,4,625.000,,1.470,232,18,21,,
T,2019-05-07 18:09:16,-23.22318148,-45.86508327,5,625.000,,1.620,225,17,21,,
T,2019-05-07 18:09:17,-23.22319715,-45.86509137,5,624.000,,1.670,220,17,21,,
T,2019-05-07 18:09:18,-23.22321516,-45.86509893,5,625.000,,1.830,217,17,21,,
T,2019-05-07 18:09:19,-23.22322977,-45.86510985,4,622.000,,1.840,223,17,21,,
T,2019-05-07 18:09:20,-23.22324160,-45.86512463,4,624.000,,1.930,229,17,21,,
T,2019-05-07 18:09:21,-23.22325318,-45.86514179,5,627.000,,2.190,234,17,21,,
T,2019-05-07 18:09:22,-23.22326700,-45.86516148,4,626.000,,2.460,231,18,21,,
T,2019-05-07 18:09:23,-23.22328379,-45.86518330,4,626.000,,3.050,231,18,21,,
T,2019-05-07 18:09:24,-23.22330289,-45.86520778,4,626.000,,3.270,231,18,21,,
T,2019-05-07 18:09:25,-23.22331926,-45.86523577,4,626.000,,3.300,234,19,21,,
T,2019-05-07 18:09:26,-23.22333157,-45.86526350,4,625.000,,3.200,242,19,21,,
T,2019-05-07 18:09:27,-23.22333920,-45.86529489,4,625.000,,3.380,249,19,21,,
T,2019-05-07 18:09:28,-23.22334365,-45.86533250,4,623.000,,3.580,255,19,21,,
T,2019-05-07 18:09:29,-23.22334537,-45.86537035,4,623.000,,3.380,260,19,21,,
T,2019-05-07 18:09:30,-23.22334425,-45.86540687,4,623.000,,3.310,264,18,21,,
T,2019-05-07 18:09:31,-23.22333898,-45.86544078,4,623.000,,3.070,271,18,21,,
T,2019-05-07 18:09:32,-23.22332937,-45.86547150,4,622.000,,2.890,278,18,21,,
T,2019-05-07 18:09:33,-23.22331775,-45.86550088,4,621.000,,2.910,285,19,21,,
T,2019-05-07 18:09:34,-23.22330324,-45.86552796,4,620.000,,2.690,299,19,21,,
T,2019-05-07 18:09:35,-23.22328815,-45.86555439,4,620.000,,2.740,297,19,21,,
T,2019-05-07 18:09:36,-23.22326923,-45.86557953,4,619.000,,2.810,303,20,21,,
T,2019-05-07 18:09:37,-23.22324850,-45.86560317,4,619.000,,2.860,307,20,21,,
T,2019-05-07 18:09:38,-23.22322634,-45.86562609,3,619.000,,2.980,310,18,20,,
T,2019-05-07 18:09:39,-23.22320460,-45.86565060,4,617.000,,3.100,311,17,19,,
T,2019-05-07 18:09:40,-23.22318187,-45.86567304,4,617.000,,3.070,312,18,20,,
T,2019-05-07 18:09:41,-23.22315584,-45.86569187,4,616.000,,3.070,314,18,21,,
T,2019-05-07 18:09:42,-23.22313048,-45.86571058,4,615.000,,3.100,316,18,21,,
T,2019-05-07 18:09:43,-23.22310476,-45.86572839,4,616.000,,3.270,316,18,21,,
T,2019-05-07 18:09:44,-23.22307757,-45.86574977,3,616.000,,3.550,316,14,21,,
T,2019-05-07 18:09:45,-23.22304845,-45.86577306,3,617.000,,3.930,316,16,22,,
T,2019-05-07 18:09:46,-23.22301611,-45.86580126,3,616.000,,4.330,314,14,20,,
T,2019-05-07 18:09:47,-23.22298483,-45.86583106,3,616.000,,4.290,315,14,20,,
T,2019-05-07 18:09:48,-23.22295330,-45.86586129,4,617.000,,4.580,315,14,20,,
T,2019-05-07 18:09:49,-23.22292238,-45.86589432,5,617.000,,4.800,314,15,21,,
T,2019-05-07 18:09:50,-23.22287100,-45.86594567,5,616.000,,5.570,315,16,21,,
T,2019-05-07 18:09:51,-23.22282558,-45.86597336,6,616.000,,5.770,318,15,21,,
T,2019-05-07 18:09:52,-23.22279003,-45.86599808,5,617.000,,5.920,319,15,21,,
T,2019-05-07 18:09:53,-23.22275870,-45.86605056,6,617.000,,6.430,316,15,21,,
T,2019-05-07 18:09:54,-23.22269289,-45.86607529,5,617.000,,6.900,321,16,22,,
T,2019-05-07 18:09:55,-23.22265344,-45.86612398,5,617.000,,7.000,318,17,22,,
T,2019-05-07 18:09:56,-23.22260542,-45.86617329,5,618.000,,7.280,317,17,22,,
T,2019-05-07 18:09:57,-23.22257143,-45.86623204,5,618.000,,7.350,314,17,22,,
T,2019-05-07 18:09:58,-23.22252392,-45.86629036,11,618.000,,7.670,315,17,22,,
T,2019-05-07 18:09:59,-23.22247006,-45.86635373,11,618.000,,7.920,315,17,22,,
T,2019-05-07 18:10:00,-23.22239266,-45.86639061,11,618.000,,8.060,318,17,22,,
T,2019-05-07 18:10:01,-23.22234714,-45.86644833,11,617.000,,8.020,316,17,22,,
T,2019-05-07 18:10:02,-23.22231375,-45.86653155,11,616.000,,8.240,312,17,22,,
T,2019-05-07 18:10:03,-23.22225264,-45.86658901,11,614.000,,8.440,314,17,22,,
T,2019-05-07 18:10:04,-23.22219595,-45.86663624,11,611.000,,8.460,316,17,22,,
T,2019-05-07 18:10:05,-23.22213652,-45.86668628,11,612.000,,8.410,317,17,22,,
T,2019-05-07 18:10:06,-23.22207795,-45.86672747,11,613.000,,8.380,318,16,22,,
T,2019-05-07 18:10:07,-23.22201846,-45.86680259,11,615.000,,8.830,317,16,22,,
T,2019-05-07 18:10:08,-23.22196366,-45.86688994,11,612.000,,9.190,314,16,22,,
T,2019-05-07 18:10:09,-23.22188681,-45.86696965,12,612.000,,9.620,316,16,22,,
T,2019-05-07 18:10:10,-23.22181185,-45.86697442,12,612.000,,8.970,321,16,22,,
T,2019-05-07 18:10:11,-23.22176610,-45.86704296,11,611.000,,8.980,317,16,22,,
T,2019-05-07 18:10:12,-23.22169685,-45.86710856,11,612.000,,9.240,316,16,22,,
T,2019-05-07 18:10:13,-23.22166006,-45.86717750,11,611.000,,9.230,314,16,22,,
T,2019-05-07 18:10:14,-23.22160617,-45.86724554,11,611.000,,9.380,314,17,22,,
T,2019-05-07 18:10:15,-23.22155832,-45.86731071,11,611.000,,9.250,313,19,22,,
T,2019-05-07 18:10:16,-23.22149319,-45.86738730,11,611.000,,9.550,314,19,22,,
T,2019-05-07 18:10:17,-23.22144704,-45.86745750,11,609.000,,9.580,313,18,22,,
T,2019-05-07 18:10:18,-23.22139061,-45.86752601,11,610.000,,9.590,313,18,22,,
T,2019-05-07 18:10:19,-23.22132358,-45.86758476,11,610.000,,9.680,314,19,22,,
T,2019-05-07 18:10:20,-23.22126966,-45.86765287,11,610.000,,9.790,310,19,22,,
T,2019-05-07 18:10:21,-23.22122033,-45.86772457,11,613.000,,9.720,307,19,22,,
T,2019-05-07 18:10:22,-23.22115526,-45.86778786,10,613.000,,9.640,306,19,22,,
T,2019-05-07 18:10:23,-23.22109667,-45.86788354,10,612.000,,9.690,305,19,22,,
T,2019-05-07 18:10:24,-23.22105224,-45.86797146,10,612.000,,9.840,304,19,22,,
T,2019-05-07 18:10:25,-23.22100618,-45.86805660,10,610.000,,9.860,304,19,22,,
T,2019-05-07 18:10:26,-23.22095049,-45.86812151,10,608.000,,9.780,304,19,22,,
T,2019-05-07 18:10:27,-23.22090432,-45.86820484,10,608.000,,10.000,305,19,22,,
T,2019-05-07 18:10:28,-23.22084416,-45.86828674,10,608.000,,9.930,307,18,22,,
T,2019-05-07 18:10:29,-23.22079867,-45.86836662,10,610.000,,9.830,306,18,22,,
T,2019-05-07 18:10:30,-23.22074306,-45.86844178,10,610.000,,9.870,306,18,22,,
T,2019-05-07 18:10:31,-23.22068855,-45.86851784,10,610.000,,9.840,305,19,22,,
T,2019-05-07 18:10:32,-23.22064069,-45.86860305,10,610.000,,9.910,304,19,22,,
T,2019-05-07 18:10:33,-23.22059251,-45.86867473,10,609.000,,9.990,305,19,22,,
T,2019-05-07 18:10:34,-23.22053848,-45.86875612,10,609.000,,9.990,306,19,22,,
T,2019-05-07 18:10:35,-23.22048557,-45.86884291,10,609.000,,10.110,305,19,22,,
T,2019-05-07 18:10:36,-23.22042819,-45.86892413,10,609.000,,10.030,305,19,22,,
T,2019-05-07 18:10:37,-23.22038121,-45.86902074,10,610.000,,10.160,304,18,22,,
T,2019-05-07 18:10:38,-23.22032849,-45.86911519,10,609.000,,10.220,305,19,22,,
T,2019-05-07 18:10:39,-23.22027575,-45.86919607,10,609.000,,10.110,305,19,22,,
T,2019-05-07 18:10:40,-23.22022474,-45.86927601,10,608.000,,10.160,304,19,22,,
T,2019-05-07 18:10:41,-23.22017693,-45.86936783,10,609.000,,10.240,303,19,22,,
T,2019-05-07 18:10:42,-23.22013135,-45.86943896,10,607.000,,10.310,304,19,22,,
T,2019-05-07 18:10:43,-23.22008275,-45.86951631,10,606.000,,10.290,305,19,22,,
T,2019-05-07 18:10:44,-23.22002986,-45.86959974,10,606.000,,10.300,305,18,22,,
T,2019-05-07 18:10:45,-23.21998191,-45.86968089,10,606.000,,10.350,305,18,22,,
T,2019-05-07 18:10:46,-23.21992881,-45.86975607,10,606.000,,10.430,305,19,22,,
T,2019-05-07 18:10:47,-23.21987482,-45.86984201,10,606.000,,10.390,305,19,22,,
T,2019-05-07 18:10:48,-23.21982440,-45.86992279,10,606.000,,10.470,305,20,22,,
T,2019-05-07 18:10:49,-23.21976994,-45.86999419,10,605.000,,10.440,305,20,22,,
T,2019-05-07 18:10:50,-23.21971265,-45.87008310,10,605.000,,10.580,305,20,22,,
T,2019-05-07 18:10:51,-23.21966397,-45.87017223,10,606.000,,10.480,305,20,22,,
T,2019-05-07 18:10:52,-23.21961293,-45.87025842,10,607.000,,10.350,305,20,22,,
T,2019-05-07 18:10:53,-23.21955743,-45.87033651,10,608.000,,10.120,305,20,22,,
T,2019-05-07 18:10:54,-23.21950657,-45.87041598,10,608.000,,9.710,305,20,22,,
T,2019-05-07 18:10:55,-23.21945403,-45.87049797,10,607.000,,9.510,305,20,22,,
T,2019-05-07 18:10:56,-23.21940649,-45.87057385,10,607.000,,9.270,306,20,22,,
T,2019-05-07 18:10:57,-23.21936381,-45.87064020,10,606.000,,8.770,305,20,22,,
T,2019-05-07 18:10:58,-23.21931873,-45.87070538,10,606.000,,8.400,306,20,22,,
T,2019-05-07 18:10:59,-23.21928384,-45.87076427,10,606.000,,7.320,304,19,22,,
T,2019-05-07 18:11:00,-23.21925014,-45.87081830,10,607.000,,6.840,304,20,22,,
T,2019-05-07 18:11:01,-23.21922495,-45.87086229,10,607.000,,5.570,301,20,22,,
T,2019-05-07 18:11:02,-23.21920709,-45.87089942,10,607.000,,4.760,297,20,22,,
T,2019-05-07 18:11:03,-23.21919942,-45.87093749,10,607.000,,4.470,292,20,22,,
T,2019-05-07 18:11:04,-23.21919119,-45.87097319,10,608.000,,4.210,289,20,22,,
T,2019-05-07 18:11:05,-23.21918439,-45.87101361,10,608.000,,4.020,286,20,22,,
T,2019-05-07 18:11:06,-23.21919088,-45.87103465,10,609.000,,2.380,276,20,22,,
T,2019-05-07 18:11:07,-23.21919468,-45.87105694,10,609.000,,1.910,275,19,22,,
T,2019-05-07 18:11:08,-23.21920455,-45.87108537,10,609.000,,1.720,255,20,22,,
T,2019-05-07 18:11:09,-23.21920424,-45.87109729,10,609.000,,0.830,274,19,22,,
T,2019-05-07 18:11:10,-23.21919692,-45.87110694,11,610.000,,0.430,275,19,22,,
T,2019-05-07 18:11:11,-23.21920746,-45.87112197,11,609.000,,0.300,274,19,22,,
T,2019-05-07 18:11:12,-23.21919975,-45.87112484,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:13,-23.21919784,-45.87112554,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:14,-23.21919675,-45.87112833,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:15,-23.21919817,-45.87112947,10,610.000,,0.000,,19,21,,
T,2019-05-07 18:11:16,-23.21919521,-45.87112976,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:11:17,-23.21919347,-45.87112875,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:11:18,-23.21919234,-45.87113036,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:19,-23.21919370,-45.87113187,11,610.000,,0.000,,19,22,,
T,2019-05-07 18:11:20,-23.21919486,-45.87113186,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:11:21,-23.21919413,-45.87113133,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:11:22,-23.21919197,-45.87113011,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:23,-23.21919056,-45.87112892,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:24,-23.21918982,-45.87112819,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:25,-23.21918962,-45.87112782,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:26,-23.21918949,-45.87112753,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:27,-23.21918970,-45.87112733,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:28,-23.21918980,-45.87112721,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:29,-23.21918998,-45.87112715,10,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:30,-23.21919008,-45.87112708,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:31,-23.21919012,-45.87112706,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:32,-23.21919011,-45.87112704,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:33,-23.21919013,-45.87112702,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:34,-23.21919004,-45.87112704,12,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:35,-23.21919017,-45.87112696,13,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:36,-23.21919040,-45.87112686,13,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:37,-23.21919051,-45.87112680,13,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:38,-23.21919057,-45.87112679,13,609.000,,0.000,,17,22,,
T,2019-05-07 18:11:39,-23.21919058,-45.87112677,12,609.000,,0.000,,17,22,,
T,2019-05-07 18:11:40,-23.21919059,-45.87112677,12,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:41,-23.21919060,-45.87112676,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:42,-23.21919058,-45.87112676,11,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:43,-23.21919058,-45.87112675,11,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:44,-23.21919059,-45.87112675,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:45,-23.21919058,-45.87112674,12,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:46,-23.21919058,-45.87112673,12,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:47,-23.21919057,-45.87112672,12,609.000,,0.000,,19,22,,
T,2019-05-07 18:11:48,-23.21919056,-45.87112669,13,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:49,-23.21919056,-45.87112668,13,609.000,,0.000,,17,22,,
T,2019-05-07 18:11:50,-23.21919055,-45.87112666,12,609.000,,0.000,,17,22,,
T,2019-05-07 18:11:51,-23.21919053,-45.87112664,12,609.000,,0.000,,17,22,,
T,2019-05-07 18:11:52,-23.21919054,-45.87112663,12,609.000,,0.000,,16,22,,
T,2019-05-07 18:11:53,-23.21919056,-45.87112663,12,609.000,,0.000,,16,22,,
T,2019-05-07 18:11:54,-23.21919056,-45.87112663,12,609.000,,0.000,,16,22,,
T,2019-05-07 18:11:55,-23.21919058,-45.87112663,12,609.000,,0.000,,17,22,,
T,2019-05-07 18:11:56,-23.21919058,-45.87112663,12,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:57,-23.21919059,-45.87112663,12,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:58,-23.21919059,-45.87112663,12,609.000,,0.000,,18,22,,
T,2019-05-07 18:11:59,-23.21919059,-45.87112661,11,609.000,,0.000,,18,22,,
T,2019-05-07 18:12:00,-23.21919057,-45.87112659,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:12:01,-23.21919056,-45.87112657,11,609.000,,0.000,,19,22,,
T,2019-05-07 18:12:02,-23.21919055,-45.87112655,11,609.000,,0.000,,18,22,,
T,2019-05-07 18:12:03,-23.21919052,-45.87112653,11,609.000,,0.000,,18,22,,
T,2019-05-07 18:12:04,-23.21919048,-45.87112650,11,609.000,,0.000,,18,22,,
T,2019-05-07 18:12:05,-23.21919046,-45.87112648,11,609.000,,0.000,,16,22,,
T,2019-05-07 18:12:06,-23.21919045,-45.87112645,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:07,-23.21919044,-45.87112641,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:08,-23.21919043,-45.87112637,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:09,-23.21919042,-45.87112635,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:10,-23.21919041,-45.87112635,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:11,-23.21919040,-45.87112632,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:12,-23.21919040,-45.87112631,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:13,-23.21919041,-45.87112633,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:14,-23.21919042,-45.87112636,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:15,-23.21919042,-45.87112636,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:16,-23.21919041,-45.87112634,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:17,-23.21919043,-45.87112633,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:18,-23.21919043,-45.87112635,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:19,-23.21919043,-45.87112637,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:20,-23.21919042,-45.87112637,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:21,-23.21919042,-45.87112637,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:22,-23.21919041,-45.87112639,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:23,-23.21919041,-45.87112640,11,610.000,,0.000,,17,20,,
T,2019-05-07 18:12:24,-23.21919039,-45.87112639,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:25,-23.21919040,-45.87112638,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:26,-23.21919041,-45.87112639,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:27,-23.21919040,-45.87112639,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:28,-23.21919039,-45.87112640,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:29,-23.21919038,-45.87112640,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:30,-23.21919038,-45.87112640,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:31,-23.21919037,-45.87112639,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:32,-23.21919035,-45.87112635,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:33,-23.21919035,-45.87112634,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:34,-23.21919034,-45.87112631,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:35,-23.21919032,-45.87112628,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:36,-23.21919031,-45.87112623,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:37,-23.21919031,-45.87112620,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:38,-23.21919034,-45.87112619,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:39,-23.21919038,-45.87112618,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:40,-23.21919042,-45.87112618,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:41,-23.21919046,-45.87112616,11,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:42,-23.21919045,-45.87112613,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:12:43,-23.21919044,-45.87112609,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:44,-23.21919040,-45.87112606,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:45,-23.21919039,-45.87112603,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:46,-23.21919037,-45.87112601,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:47,-23.21919035,-45.87112598,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:48,-23.21919031,-45.87112596,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:49,-23.21919028,-45.87112592,10,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:50,-23.21919025,-45.87112589,10,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:51,-23.21919023,-45.87112588,10,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:52,-23.21919018,-45.87112586,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:53,-23.21919014,-45.87112581,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:54,-23.21919012,-45.87112578,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:55,-23.21919012,-45.87112574,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:56,-23.21919010,-45.87112573,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:57,-23.21919008,-45.87112569,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:58,-23.21919008,-45.87112567,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:12:59,-23.21919007,-45.87112566,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:13:00,-23.21919009,-45.87112567,11,610.000,,0.000,,16,22,,
T,2019-05-07 18:13:01,-23.21919008,-45.87112564,10,610.000,,0.000,,16,22,,
T,2019-05-07 18:13:02,-23.21919008,-45.87112559,10,610.000,,0.000,,16,22,,
T,2019-05-07 18:13:03,-23.21919008,-45.87112555,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:04,-23.21919007,-45.87112552,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:05,-23.21919008,-45.87112549,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:06,-23.21919010,-45.87112546,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:07,-23.21919010,-45.87112544,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:08,-23.21919012,-45.87112543,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:09,-23.21919015,-45.87112539,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:10,-23.21919016,-45.87112535,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:11,-23.21919013,-45.87112534,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:12,-23.21919013,-45.87112533,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:13,-23.21919014,-45.87112531,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:14,-23.21919012,-45.87112530,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:15,-23.21919009,-45.87112526,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:16,-23.21919009,-45.87112522,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:17,-23.21919009,-45.87112520,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:18,-23.21919007,-45.87112520,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:19,-23.21919006,-45.87112518,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:20,-23.21919004,-45.87112516,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:21,-23.21919002,-45.87112514,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:22,-23.21918998,-45.87112513,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:23,-23.21918992,-45.87112511,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:24,-23.21918987,-45.87112506,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:25,-23.21918984,-45.87112504,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:26,-23.21918985,-45.87112499,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:27,-23.21918987,-45.87112496,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:13:28,-23.21918986,-45.87112493,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:13:29,-23.21918985,-45.87112493,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:13:30,-23.21918984,-45.87112492,10,610.000,,0.000,,19,22,,
T,2019-05-07 18:13:31,-23.21918984,-45.87112491,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:32,-23.21918984,-45.87112488,10,610.000,,0.000,,18,22,,
T,2019-05-07 18:13:33,-23.21918983,-45.87112486,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:34,-23.21918981,-45.87112484,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:35,-23.21918982,-45.87112482,10,610.000,,0.000,,17,22,,
T,2019-05-07 18:13:36,-23.21918983,-45.87112483,10,610.000,,0.000,,17,22,,
